p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0.000353349543949348,-0.41997262145597,1,1,1
0.000353349543949348,-0.254141290737822,1,1,1
0.000353349543949348,0.511103172153875,1,1,1
0.000353349543949348,-0.402843186670305,1,1,1
0.000353349543949348,-0.348750808289019,1,1,1
0.000353349543949348,-0.406175899833208,1,1,1
0.000353349543949348,-0.206879672535776,1,1,1
0.000353349543949348,-0.325352098659,1,1,1
0.000371535121461574,-0.369871421004826,1,1,1
0.000371535121461574,-0.413843937837033,1,1,1
0.000371535121461574,-0.457052101383934,1,1,1
0.000371535121461574,-0.337076782705054,1,1,1
0.000371535121461574,-0.393129680046579,1,1,1
0.000371535121461574,0.296427703724347,1,1,1
0.000371535121461574,-0.292006850007099,1,1,1
0.000371535121461574,0.229754845959206,1,1,1
0.000371535121461574,-0.569766939101873,1,1,1
0.000371535121461574,-0.554459357599954,1,1,1
0.000371535121461574,-0.194435660682987,1,1,1
0.000371535121461574,-0.515424299756261,1,1,1
0.000388990181460984,-0.236663726290071,0.057,0.433,1
0.000389445151146347,-0.25318809264338,0.857,1,1
0.00039039826817642,-0.247523324980565,0.6,0.933,1
0.000390592759850749,-0.200834670513132,0.971,1,1
0.000390592759850749,-0.27194392148078,1,1,1
0.000390592759850749,0.321232574779298,1,1,1
0.000390592759850749,-0.305782681301639,1,1,1
0.000390592759850749,-0.43949631647343,1,1,1
0.000390592759850749,-0.281503558345093,1,1,1
0.000390592759850749,-0.406226472384671,1,1,1
0.000390592759850749,0.461803601822619,1,1,1
0.000390592759850749,-0.590858694342266,1,1,1
0.000390592759850749,0.24461843293712,1,1,1
0.000390592759850749,-0.4294594333304,1,1,1
0.000390592759850749,0.155540673609456,1,1,1
0.000390592759850749,-0.519627939902315,1,1,1
0.000390592759850749,-0.356753801814354,1,1,1
0.000390592759850749,0.12021937010575,1,1,1
0.000390592759850749,-0.280720766565922,1,1,1
0.000390592759850749,-0.450699422970833,1,1,1
0.000390592759850749,-0.575323859907326,1,1,1
0.000409961569122407,-0.242904010145139,0.886,1,1
